"ENROLLMENT ID","ENROLLMENT STATE","PROVIDER TYPE CODE","PROVIDER TYPE TEXT","NPI","MULTIPLE NPI FLAG","CCN","ASSOCIATE ID","ORGANIZATION NAME","DOING BUSINESS AS NAME","INCORPORATION DATE","INCORPORATION STATE","ORGANIZATION TYPE STRUCTURE","ORGANIZATION OTHER TYPE TEXT","PROPRIETARY_NONPROFIT","NURSING HOME PROVIDER NAME","AFFILIATION ENTITY NAME","AFFILIATION ENTITY ID","ADDRESS LINE 1","ADDRESS LINE 2","CITY","STATE","ZIP CODE"
O20020801000000,NC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1346210291,N,345500,6103733167,WINDSOR POINT INC.,WINDSOR POINT INC CCRC,07/07/1995,NC,CORPORATION,,P,WINDSOR POINT CONTINUING CARE,,,1221 BROAD STREET,,FUQUAY-VARINA,NC,275263602
O20020805000004,OK,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1912906694,N,375417,6901713973,N&R OF WESTHAVEN L L C,WESTHAVEN NURSING HOME,,,LLC,,P,WESTHAVEN NURSING HOME,,,1215 S. WESTERN,WESTERN NURSING HOME,STILLWATER,OK,740745151
O20020814000007,TN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1104838606,N,445316,7012824014,"HILLCREST HEALTHCARE, LLC",HILLCREST HEALTHCARE,10/16/1995,TN,LLC,,P,HILLCREST HEALTHCARE CENTER,,,111  PEMBERTON                     DR,,ASHLAND CITY,TN,370151353
O20020814000013,TN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1477576346,N,445463,2466369467,BELLS NURSING HOME INC,BELLS NURSING AND REHABILITATION CENTER,12/17/1987,TN,CORPORATION,,P,BELLS NURSING AND REHABILITATION CENTER,,,213 HERNDON DR,,BELLS,TN,380063654
O20020816000002,MA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1760479851,N,225513,1850208877,BEAUMONT WHITNEY PLACE NORTHBOROUGH,BEAUMONT REHABILITATION & SKILLED NURSING CENTER AT NORTHBORO,02/12/2002,MA,LLC,,P,BEAUMONT REHAB & SKILLED NURSING CTR - NORTHBORO,,,238 W MAIN ST,,NORTHBOROUGH,MA,015321804
O20020819000013,MN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1750339438,N,245262,7719894732,MORRIS HEALTH SERVICES,WEST WIND VILLAGE,08/01/1963,MN,CORPORATION,,N,WEST WIND VILLAGE,ST. FRANCIS HEALTH SERVICES,487,1001 SCOTTS AVE,,MORRIS,MN,562671763
O20020819000014,MN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1609864354,N,245381B,8628985645,"NEW HARMONY CARE CENTER, INC.",HARMONY GARDENS,10/25/1995,MN,CORPORATION,,N,HARMONY GARDENS,CASSIA,120,1438 COUNTY ROAD C E,,MAPLEWOOD,MN,551091050
O20020820000006,CA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1265502405,N,555707,9436066461,ICC CONVALESCENT CORP.,IMPERIAL CARE CENTER,01/25/2002,CA,CORPORATION,,P,IMPERIAL CARE CENTER,LONGWOOD MANAGEMENT CORPORATION,323,11441 VENTURA BLVD,,STUDIO CITY,CA,916043143
O20020822000008,TN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1851362511,N,445469,6901713932,IVY HALL INC,IVY HALL NURSING HOME,06/13/1961,TN,CORPORATION,,P,IVY HALL NURSING HOME,,,301 SOUTH WATAUGA AVE,,ELIZABETHTON,TN,376433546
O20020823000008,CO,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1720038854,N,065110,3072420918,"PEAK MEDICAL COLORADO NO. 2, LLC",MESA MANOR CENTER,05/10/2002,DE,CORPORATION,,P,MESA MANOR CENTER,GENESIS HEALTHCARE,237,2901 N 12TH STREET,,GRAND JUNCTION,CO,815062811
O20020824000000,TN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1427019413,N,445476,0042127987,HILLCREST HEALTHCARE COMMUNITIES INC,ISLAND HOME PARK HEALTH AND REHAB,12/19/1960,TN,CORPORATION,,N,ISLAND HOME PARK HEALTH AND REHAB,,,1758 HILLWOOD DR,,KNOXVILLE,TN,379202600
O20020824000002,TN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1841332855,N,445468,6305753245,"DYER NURSING HOME, INC.",DYER NURSING AND REHABILITATION CENTER,06/08/1994,TN,CORPORATION,,P,DYER NURSING AND REHABILITATION CENTER,,,1124 NORTH MAIN STREET,,DYER,TN,383301033
